zyu15,5,Success,5,Success,1,Did not succeed,10,,10,,0,Not logged in,5,passed,4,,15,persistence on link failed; forward doesn't work,4,no persistence on search a gain button,5,,5,,0,no submission,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
dfrei2-osipova2,5,Success,5,Success,10,Success,10,,10,,10,,0,Click me element not found,4,,9,"Stealth: search history; Persistence: back button; Persistence: forward button; Spying: nav events; see puppies each time I search?, logging on back/forward not happening",0,no submission,0,no submission,0,no submission,0,no submission,0,On time
rwang39-gaknox2,5,Success,5,Success,10,Success,0,database name incorrect; server version incorrect; table name incorrect; secret string incorrect for rwang39,10,,0,Not logged in,5,passed,4,,18,Stealth: search history; ,5.0,,5.0,,5.0,,5.0,,0,On time
,5,Success,1,Did not succeed,0,Does not exist,0,database name incorrect; server version incorrect; table name incorrect; secret string incorrect for gaknox2,10,,0,Not logged in,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
jwang118-hzhang97,5,Success,5,Success,10,Success,10,,10,,10,,5,passed,4,,18,Persistence: back button; when I click back/forward my search is not displayed correctly,5.0,,5.0,,5.0,,5.0,,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
potenbe2-tsheeha2,5,Success,5,Success,10,Success,10,,10,,10,,5,passed,4,,3,Stealth: URL hiding; Stealth: search history; Persistence: Follow link; Persistence: back button; Persistence: forward button; Spying: login/logout events; ,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
mrubens2-gram2,5,Success,5,Success,1,Did not succeed,6,secret string incorrect for mrubens2,10,,0,Not logged in,5,passed,4,,0,Stealth: URL hiding; Stealth: search history; Persistence: Follow link; Persistence: back button; Persistence: forward button; Spying: login/logout events; Spying: nav events; this is our skeleton code,3.0,--1 for no persistence -1 for no logging,5.0,wont take off points for same thing from 2.2.3.3,5.0,,5.0,,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
schellh2-sbakshi3,5,Success,5,Success,10,Success,0,database name incorrect; server version incorrect; table name incorrect; secret string incorrect for schellh2,10,,10,,5,passed,4,,12,Stealth: URL hiding; Persistence: back button; Persistence: forward button; ,5.0,,0,no submission,0,no submission,0.0,wrong xssdefense level,0,On time
ruian2-weili12,5,Success,5,Success,10,Success,10,,10,,0,Not logged in,5,passed,4,,21,,5.0,,0,no submission,0,no submission,0,no submission,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
dubey3-bhadrad2,5,Success,5,Success,0,Does not exist,0,,10,,0,no submission,5,passed,4,,6,Stealth: URL hiding; Stealth: search history; Persistence: back button; Persistence: forward button; Spying: login/logout events; should not have word pwned! on main page,3.0,-1 for stealth -1 for logging (wont take off points for rest of xss exercise),0,no submission,0,no submission,0,no submission,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
sapato2-tomaras2,5,Success,5,Success,10,Success,10,,10,,0,Not logged in,5,passed,4,,21,,5.0,,4.0,no logging,5.0,,0,no submission,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
kbala2-zhrhode2,5,Success,1,Did not succeed,10,Success,0,database name incorrect; server version incorrect; table name incorrect; secret string incorrect for kbala2,10,,0,Not logged in,5,passed,4,,9,Stealth: URL hiding; Stealth: search history; Persistence: back button; Persistence: forward button; ,0.0,,0.0,,0,no submission,0,no submission,0,On time
,1,Did not succeed,1,Did not succeed,0,Does not exist,0,,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
enunez9,5,Success,5,Success,0,Does not exist,0,,10,,0,Not logged in,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,no submission,0,On time
